date_local,daily_avg,n_obs,n_sites
1991-10-11,0.01879157142857143,7,5
1991-10-12,0.025381,7,5
1991-10-13,0.026643,7,5
1991-10-14,0.018035714285714287,7,5
1991-10-15,0.018436,7,5
1991-10-16,0.017857142857142856,7,5
1991-10-17,0.021708285714285715,7,5
1991-10-18,0.012970285714285714,7,5
1991-10-19,0.017083333333333332,6,4
1991-10-20,0.018076333333333333,6,4
1991-10-21,0.022006833333333333,6,4
1991-10-22,0.019791666666666666,6,4
1991-10-23,0.015461857142857144,7,5
1991-10-24,0.012633,6,5
1991-10-25,0.01006042857142857,7,5
1991-10-26,0.022041571428571428,7,5
1991-10-27,0.018327285714285716,7,5
1991-10-28,0.017220285714285716,7,5
1991-10-29,0.018765857142857143,7,5
1991-10-30,0.014392857142857143,7,5
1991-10-31,0.020347714285714285,7,5
1991-11-01,0.021631,7,5
1991-11-02,0.01968442857142857,7,5
1991-11-03,0.016744142857142857,7,5
1991-11-04,0.019154714285714285,7,5
1991-11-05,0.014396428571428572,7,5
1991-11-06,0.006601285714285714,7,5
1991-11-07,0.006571428571428572,7,5
1991-11-08,0.010628142857142857,7,5
1991-11-09,0.015559571428571428,7,5
1991-11-10,0.006357142857142857,7,5
1991-11-11,0.012154857142857143,7,5
1991-11-12,0.015154857142857144,7,5
1991-11-13,0.01249,7,5
1991-11-14,0.015485428571428572,7,5
1991-11-15,0.011143,7,5
1991-11-16,0.0039642857142857145,7,5
1991-11-17,0.01381542857142857,7,5
1991-11-18,0.011519857142857142,7,5
1991-11-19,0.017535714285714286,7,5
1991-11-20,0.014756833333333334,6,4
1991-11-21,0.014625142857142857,7,5
1991-11-22,0.012268,7,5
1991-11-23,0.01589885714285714,7,5
1991-11-24,0.010214285714285714,7,5
1991-11-25,0.011535714285714286,7,5
1991-11-26,0.012339285714285714,7,5
1991-11-27,0.00959542857142857,7,5
1991-11-28,0.004339428571428571,7,5
1991-11-29,0.01654757142857143,7,5
1991-11-30,0.014541857142857143,7,5
1991-12-01,0.012687571428571428,7,5
1991-12-02,0.010972166666666667,6,5
1991-12-03,0.011854166666666667,6,5
1991-12-04,0.011058142857142857,7,5
1991-12-05,0.0059236666666666665,6,5
1991-12-06,0.0064095,6,5
1991-12-07,0.006020833333333334,6,5
1991-12-08,0.008222166666666668,6,5
1991-12-09,0.007243166666666667,6,5
1991-12-10,0.004319333333333333,6,5
1991-12-11,0.0020374285714285715,7,5
1991-12-12,0.013627857142857143,7,5
1991-12-13,0.023863,7,5
1991-12-14,0.012434428571428572,7,5
1991-12-15,0.010589285714285714,7,5
1991-12-16,0.013285571428571428,7,5
1991-12-17,0.004101285714285714,7,5
1991-12-18,0.002351285714285714,7,5
1991-12-19,0.002274,7,5
1991-12-20,0.003972166666666667,6,5
1991-12-21,0.008395666666666666,6,5
1991-12-22,0.008854166666666666,6,5
1991-12-23,0.010305666666666666,6,5
1991-12-24,0.009333333333333332,6,5
1991-12-25,0.014895833333333334,6,5
1991-12-26,0.011034666666666667,6,5
1991-12-27,0.009300166666666667,6,5
1991-12-28,0.014090166666666668,6,5
1991-12-29,0.012243,6,5
1991-12-30,0.006326333333333333,6,5
1991-12-31,0.011649333333333333,6,5
1992-01-01,0.016479,6,5
